transaction_id,transaction_list
Trans1,"Running Shoes, Socks"
Trans2,"Gym Shorts, Training T-Shirt"
Trans3,"Hoodie, Gym Bag"
Trans4,"Running Shoes, Gym Shorts, Socks"
Trans5,"Training T-Shirt, Hoodie"
Trans6,"Gym Shorts, Socks"
Trans7,"Running Shoes, Training T-Shirt, Gym Bag"
Trans8,"Hoodie, Socks"
Trans9,"Gym Shorts, Hoodie"
Trans10,"Running Shoes, Gym Shorts"
Trans11,"Socks, Gym Bag"
Trans12,"Hoodie, Gym Bag"
Trans13,"Training T-Shirt, Running Shoes"
Trans14,"Running Shoes, Socks, Gym Shorts"
Trans15,"Gym Bag, Hoodie"
Trans16,"Training T-Shirt, Gym Shorts"
Trans17,"Running Shoes, Socks, Training T-Shirt"
Trans18,"Hoodie, Gym Shorts"
Trans19,"Running Shoes, Gym Bag"
Trans20,"Socks, Gym Bag"
Trans21,"Hoodie, Training T-Shirt"
Trans22,"Running Shoes, Gym Shorts"
Trans23,"Training T-Shirt, Socks"
Trans24,"Hoodie, Gym Bag"
Trans25,"Running Shoes, Training T-Shirt"
Trans26,"Gym Shorts, Socks"
Trans27,"Running Shoes, Hoodie"
Trans28,"Gym Bag, Socks"
Trans29,"Running Shoes, Gym Bag"
Trans30,"Hoodie, Socks, Training T-Shirt"
