transaction_id,transaction_list
Trans1,"Laptop, Wireless Earbuds, Portable Charger"
Trans2,"Smartphone, USB-C Cable, Portable Charger"
Trans3,"Kindle, Bluetooth Speaker"
Trans4,"Laptop, Smartphone, Smartwatch"
Trans5,"Fire TV Stick, Bluetooth Speaker"
Trans6,"Laptop, USB-C Cable, Portable Charger"
Trans7,"Smartphone, Smartwatch, Wireless Earbuds"
Trans8,"Kindle, Portable Charger, Bluetooth Speaker"
Trans9,"Fire TV Stick, USB-C Cable"
Trans10,"Laptop, Fire TV Stick, Bluetooth Speaker"
Trans11,"Smartphone, Portable Charger"
Trans12,"Laptop, Smartwatch, Wireless Earbuds"
Trans13,"Kindle, Fire TV Stick"
Trans14,"Smartphone, USB-C Cable, Bluetooth Speaker"
Trans15,"Laptop, Kindle, USB-C Cable"
Trans16,"Fire TV Stick, Portable Charger, Bluetooth Speaker"
Trans17,"Smartphone, Wireless Earbuds"
Trans18,"Laptop, Smartphone, USB-C Cable"
Trans19,"Kindle, Smartwatch"
Trans20,"Fire TV Stick, Bluetooth Speaker, USB-C Cable"
Trans21,"Laptop, Portable Charger, Fire TV Stick"
