transaction_id ,transaction_list
Trans1,"Laptop, Monitor, Keyboard, Mouse"
Trans2,"Laptop, External Hard Drive"
Trans3,"Monitor, Keyboard, Mouse"
Trans4,"Laptop, Mouse"
Trans5,"Keyboard, Mouse"
Trans6,"Laptop, Monitor"
Trans7,"Laptop, External Hard Drive, Mouse"
Trans8,"Keyboard, Mouse, Monitor"
Trans9,"Laptop, Keyboard"
Trans10,"Monitor, External Hard Drive"
Trans11,"Laptop, Monitor, External Hard Drive"
Trans12,"Keyboard, Mouse"
Trans13,"Laptop, Monitor, Keyboard"
Trans14,"Monitor, Mouse"
Trans15,"Laptop, Keyboard, External Hard Drive"
Trans16,"Keyboard, Mouse, Monitor"
Trans17,"Laptop, External Hard Drive"
Trans18,"Laptop, Monitor"
Trans19,"Keyboard, Mouse"
Trans20,"Laptop, Mouse"
Trans21,"Laptop, Monitor, Keyboard, Mouse"
Trans22,"Keyboard, External Hard Drive"
Trans23,"Laptop, Monitor, Keyboard"
Trans24,"Laptop, External Hard Drive"
Trans25,"Monitor, Mouse, Keyboard"
