transaction_id,transaction_list
Trans1,"Basketball, Air Pump, Water Bottle"
Trans2,"Soccer Ball, Air Pump, Sports Towel"
Trans3,"Tennis Racket, Tennis Balls, Water Bottle"
Trans4,"Baseball Glove, Gym Shorts, Water Bottle"
Trans5,"Basketball, Running Shoes, Sports Towel"
Trans6,"Soccer Ball, Air Pump, Water Bottle"
Trans7,"Tennis Racket, Tennis Balls, Fitness Tracker"
Trans8,"Baseball Glove, Gym Shorts, Sports Towel"
Trans9,"Basketball, Air Pump, Water Bottle, Sports Towel"
Trans10,"Soccer Ball, Running Shoes, Fitness Tracker"
Trans11,"Tennis Racket, Tennis Balls, Water Bottle, Sports Towel"
Trans12,"Baseball Glove, Gym Shorts, Running Shoes"
Trans13,"Basketball, Air Pump, Fitness Tracker"
Trans14,"Soccer Ball, Water Bottle, Sports Towel"
Trans15,"Tennis Racket, Tennis Balls, Air Pump"
Trans16,"Baseball Glove, Water Bottle, Gym Shorts"
Trans17,"Basketball, Running Shoes, Fitness Tracker"
Trans18,"Soccer Ball, Air Pump, Gym Shorts"
Trans19,"Tennis Racket, Tennis Balls, Water Bottle, Sports Towel"
Trans20,"Basketball, Air Pump, Water Bottle, Fitness Tracker"
