transaction_id,transaction_list
Trans1,"Milk, Bread, Eggs"
Trans2,"Butter, Cheese, Bread"
Trans3,"Chicken Breast, Rice, Butter"
Trans4,"Apples, Bananas, Orange Juice"
Trans5,"Milk, Cheese, Butter"
Trans6,"Bread, Eggs, Milk"
Trans7,"Chicken Breast, Rice, Orange Juice"
Trans8,"Apples, Bananas, Cheese"
Trans9,"Milk, Eggs, Bread, Butter"
Trans10,"Rice, Chicken Breast, Milk"
Trans11,"Orange Juice, Bread"
Trans12,"Bananas, Apples, Milk"
Trans13,"Chicken Breast, Rice, Bread"
Trans14,"Eggs, Cheese, Butter"
Trans15,"Apples, Bananas, Orange Juice, Cheese"
Trans16,"Milk, Bread, Cheese"
Trans17,"Chicken Breast, Rice"
Trans18,"Bread, Butter, Eggs"
Trans19,"Bananas, Apples, Milk"
Trans20,"Chicken Breast, Rice, Orange Juice"
